id,name,generation,height,weight,base_experience,hp,attack,defense,special_attack,special_defense,speed,type_1,type_2,total_stats,height_m,weight_kg,type_combination,overall_rank
266,silcoon,Gen 3,6,100,72,50,35,55,25,25,15,bug,,205,0.6,10.0,bug,1007
267,beautifly,Gen 3,10,284,178,60,70,50,100,50,65,bug,flying,395,1.0,28.4,bug / flying,640
268,cascoon,Gen 3,7,115,72,50,35,55,25,25,15,bug,,205,0.7,11.5,bug,1007
269,dustox,Gen 3,12,316,173,60,50,70,50,90,65,bug,poison,385,1.2,31.6,bug / poison,653
270,lotad,Gen 3,5,26,44,40,30,30,40,50,30,water,grass,220,0.5,2.6,water / grass,994
271,lombre,Gen 3,12,325,119,60,50,50,60,70,50,water,grass,340,1.2,32.5,water / grass,719
272,ludicolo,Gen 3,15,550,216,80,70,70,90,100,70,water,grass,480,1.5,55.0,water / grass,405
273,seedot,Gen 3,5,40,44,40,40,50,30,30,30,grass,,220,0.5,4.0,grass,994
274,nuzleaf,Gen 3,10,280,119,70,70,40,60,40,60,grass,dark,340,1.0,28.0,grass / dark,719
275,shiftry,Gen 3,13,596,216,90,100,60,90,60,80,grass,dark,480,1.3,59.6,grass / dark,405
276,taillow,Gen 3,3,23,54,40,55,30,30,30,85,normal,flying,270,0.3,2.3,normal / flying,935
277,swellow,Gen 3,7,198,159,60,85,60,75,50,125,normal,flying,455,0.7,19.8,normal / flying,494
278,wingull,Gen 3,6,95,54,40,30,30,55,30,85,water,flying,270,0.6,9.5,water / flying,935
279,pelipper,Gen 3,12,280,154,60,50,100,95,70,65,water,flying,440,1.2,28.0,water / flying,527
280,ralts,Gen 3,4,66,40,28,25,25,45,35,40,psychic,fairy,198,0.4,6.6,psychic / fairy,1016
281,kirlia,Gen 3,8,202,97,38,35,35,65,55,50,psychic,fairy,278,0.8,20.2,psychic / fairy,924
282,gardevoir,Gen 3,16,484,233,68,65,65,125,115,80,psychic,fairy,518,1.6,48.4,psychic / fairy,223
283,surskit,Gen 3,5,17,54,40,30,32,50,52,65,bug,water,269,0.5,1.7,bug / water,943
284,masquerain,Gen 3,8,36,159,70,60,62,100,82,80,bug,flying,454,0.8,3.6,bug / flying,506
285,shroomish,Gen 3,4,45,59,60,40,60,40,60,35,grass,,295,0.4,4.5,grass,882
286,breloom,Gen 3,12,392,161,60,130,80,60,60,70,grass,fighting,460,1.2,39.2,grass / fighting,477
287,slakoth,Gen 3,8,240,56,60,60,60,35,35,30,normal,,280,0.8,24.0,normal,913
288,vigoroth,Gen 3,14,465,154,80,80,80,55,55,90,normal,,440,1.4,46.5,normal,527
289,slaking,Gen 3,20,1305,252,150,160,100,95,65,100,normal,,670,2.0,130.5,normal,16
290,nincada,Gen 3,5,55,53,31,45,90,30,30,40,bug,ground,266,0.5,5.5,bug / ground,945
291,ninjask,Gen 3,8,120,160,61,90,45,50,50,160,bug,flying,456,0.8,12.0,bug / flying,493
292,shedinja,Gen 3,8,12,83,1,90,45,30,30,40,bug,ghost,236,0.8,1.2,bug / ghost,991
293,whismur,Gen 3,6,163,48,64,51,23,51,23,28,normal,,240,0.6,16.3,normal,985
294,loudred,Gen 3,10,405,126,84,71,43,71,43,48,normal,,360,1.0,40.5,normal,684
295,exploud,Gen 3,15,840,221,104,91,63,91,73,68,normal,,490,1.5,84.0,normal,338
296,makuhita,Gen 3,10,864,47,72,60,30,20,30,25,fighting,,237,1.0,86.4,fighting,989
297,hariyama,Gen 3,23,2538,166,144,120,60,40,60,50,fighting,,474,2.3,253.8,fighting,442
298,azurill,Gen 3,2,20,38,50,20,40,20,40,20,normal,fairy,190,0.2,2.0,normal / fairy,1021
299,nosepass,Gen 3,10,970,75,30,45,135,45,90,30,rock,,375,1.0,97.0,rock,667
300,skitty,Gen 3,6,110,52,50,45,45,35,35,50,normal,,260,0.6,11.0,normal,955
301,delcatty,Gen 3,11,326,140,70,65,65,55,55,90,normal,,400,1.1,32.6,normal,633
302,sableye,Gen 3,5,110,133,50,75,75,65,65,50,dark,ghost,380,0.5,11.0,dark / ghost,662
303,mawile,Gen 3,6,115,133,50,85,85,55,55,50,steel,fairy,380,0.6,11.5,steel / fairy,662
304,aron,Gen 3,4,600,66,50,70,100,40,40,30,steel,rock,330,0.4,60.0,steel / rock,741
305,lairon,Gen 3,9,1200,151,60,90,140,50,50,40,steel,rock,430,0.9,120.0,steel / rock,544
306,aggron,Gen 3,21,3600,239,70,110,180,60,60,50,steel,rock,530,2.1,360.0,steel / rock,163
307,meditite,Gen 3,6,112,56,30,40,55,40,55,60,fighting,psychic,280,0.6,11.2,fighting / psychic,913
308,medicham,Gen 3,13,315,144,60,60,75,60,75,80,fighting,psychic,410,1.3,31.5,fighting / psychic,590
309,electrike,Gen 3,6,152,59,40,45,40,65,40,65,electric,,295,0.6,15.2,electric,882
310,manectric,Gen 3,15,402,166,70,75,60,105,60,105,electric,,475,1.5,40.2,electric,431
311,plusle,Gen 3,4,42,142,60,50,40,85,75,95,electric,,405,0.4,4.2,electric,605
312,minun,Gen 3,4,42,142,60,40,50,75,85,95,electric,,405,0.4,4.2,electric,605
313,volbeat,Gen 3,7,177,151,65,73,75,47,85,85,bug,,430,0.7,17.7,bug,544
314,illumise,Gen 3,6,177,151,65,47,75,73,85,85,bug,,430,0.6,17.7,bug,544
315,roselia,Gen 3,3,20,140,50,60,45,100,80,65,grass,poison,400,0.3,2.0,grass / poison,633
316,gulpin,Gen 3,4,103,60,70,43,53,43,53,40,poison,,302,0.4,10.3,poison,855
317,swalot,Gen 3,17,800,163,100,73,83,73,83,55,poison,,467,1.7,80.0,poison,464
318,carvanha,Gen 3,8,208,61,45,90,20,65,20,65,water,dark,305,0.8,20.8,water / dark,833
319,sharpedo,Gen 3,18,888,161,70,120,40,95,40,95,water,dark,460,1.8,88.8,water / dark,477
320,wailmer,Gen 3,20,1300,80,130,70,35,70,35,60,water,,400,2.0,130.0,water,633
321,wailord,Gen 3,145,3980,175,170,90,45,90,45,60,water,,500,14.5,398.0,water,278
322,numel,Gen 3,7,240,61,60,60,40,65,45,35,fire,ground,305,0.7,24.0,fire / ground,833
323,camerupt,Gen 3,19,2200,161,70,100,70,105,75,40,fire,ground,460,1.9,220.0,fire / ground,477
324,torkoal,Gen 3,5,804,165,70,85,140,85,70,20,fire,,470,0.5,80.4,fire,450
325,spoink,Gen 3,7,306,66,60,25,35,70,80,60,psychic,,330,0.7,30.6,psychic,741
326,grumpig,Gen 3,9,715,165,80,45,65,90,110,80,psychic,,470,0.9,71.5,psychic,450
327,spinda,Gen 3,11,50,126,60,60,60,60,60,60,normal,,360,1.1,5.0,normal,684
328,trapinch,Gen 3,7,150,58,45,100,45,45,45,10,ground,,290,0.7,15.0,ground,892
329,vibrava,Gen 3,11,153,119,50,70,50,50,50,70,ground,dragon,340,1.1,15.3,ground / dragon,719
330,flygon,Gen 3,20,820,234,80,100,80,80,80,100,ground,dragon,520,2.0,82.0,ground / dragon,214
331,cacnea,Gen 3,4,513,67,50,85,40,85,40,35,grass,,335,0.4,51.3,grass,731
332,cacturne,Gen 3,13,774,166,70,115,60,115,60,55,grass,dark,475,1.3,77.4,grass / dark,431
333,swablu,Gen 3,4,12,62,45,40,60,40,75,50,normal,flying,310,0.4,1.2,normal / flying,804
334,altaria,Gen 3,11,206,172,75,70,90,70,105,80,dragon,flying,490,1.1,20.6,dragon / flying,338
335,zangoose,Gen 3,13,403,160,73,115,60,60,60,90,normal,,458,1.3,40.3,normal,490
336,seviper,Gen 3,27,525,160,73,100,60,100,60,65,poison,,458,2.7,52.5,poison,490
337,lunatone,Gen 3,10,1680,161,90,55,65,95,85,70,rock,psychic,460,1.0,168.0,rock / psychic,477
338,solrock,Gen 3,12,1540,161,90,95,85,55,65,70,rock,psychic,460,1.2,154.0,rock / psychic,477
339,barboach,Gen 3,4,19,58,50,48,43,46,41,60,water,ground,288,0.4,1.9,water / ground,903
340,whiscash,Gen 3,9,236,164,110,78,73,76,71,60,water,ground,468,0.9,23.6,water / ground,462
341,corphish,Gen 3,6,115,62,43,80,65,50,35,35,water,,308,0.6,11.5,water,825
342,crawdaunt,Gen 3,11,328,164,63,120,85,90,55,55,water,dark,468,1.1,32.8,water / dark,462
343,baltoy,Gen 3,5,215,60,40,40,55,40,70,55,ground,psychic,300,0.5,21.5,ground / psychic,856
344,claydol,Gen 3,15,1080,175,60,70,105,70,120,75,ground,psychic,500,1.5,108.0,ground / psychic,278
345,lileep,Gen 3,10,238,71,66,41,77,61,87,23,rock,grass,355,1.0,23.8,rock / grass,691
346,cradily,Gen 3,15,604,173,86,81,97,81,107,43,rock,grass,495,1.5,60.4,rock / grass,317
347,anorith,Gen 3,7,125,71,45,95,50,40,50,75,rock,bug,355,0.7,12.5,rock / bug,691
348,armaldo,Gen 3,15,682,173,75,125,100,70,80,45,rock,bug,495,1.5,68.2,rock / bug,317
349,feebas,Gen 3,6,74,40,20,15,20,10,55,80,water,,200,0.6,7.4,water,1012
350,milotic,Gen 3,62,1620,189,95,60,79,100,125,81,water,,540,6.2,162.0,water,136
351,castform,Gen 3,3,8,147,70,70,70,70,70,70,normal,,420,0.3,0.8,normal,562
352,kecleon,Gen 3,10,220,154,60,90,70,60,120,40,normal,,440,1.0,22.0,normal,527
353,shuppet,Gen 3,6,23,59,44,75,35,63,33,45,ghost,,295,0.6,2.3,ghost,882
354,banette,Gen 3,11,125,159,64,115,65,83,63,65,ghost,,455,1.1,12.5,ghost,494
355,duskull,Gen 3,8,150,59,20,40,90,30,90,25,ghost,,295,0.8,15.0,ghost,882
356,dusclops,Gen 3,16,306,159,40,70,130,60,130,25,ghost,,455,1.6,30.6,ghost,494
357,tropius,Gen 3,20,1000,161,99,68,83,72,87,51,grass,flying,460,2.0,100.0,grass / flying,477
358,chimecho,Gen 3,6,10,159,75,50,80,95,90,65,psychic,,455,0.6,1.0,psychic,494
359,absol,Gen 3,12,470,163,65,130,60,75,60,75,dark,,465,1.2,47.0,dark,466
360,wynaut,Gen 3,6,140,52,95,23,48,23,48,23,psychic,,260,0.6,14.0,psychic,955
361,snorunt,Gen 3,7,168,60,50,50,50,50,50,50,ice,,300,0.7,16.8,ice,856
362,glalie,Gen 3,15,2565,168,80,80,80,80,80,80,ice,,480,1.5,256.5,ice,405
363,spheal,Gen 3,8,395,58,70,40,50,55,50,25,ice,water,290,0.8,39.5,ice / water,892
364,sealeo,Gen 3,11,876,144,90,60,70,75,70,45,ice,water,410,1.1,87.6,ice / water,590
365,walrein,Gen 3,14,1506,239,110,80,90,95,90,65,ice,water,530,1.4,150.6,ice / water,163
366,clamperl,Gen 3,4,525,69,35,64,85,74,55,32,water,,345,0.4,52.5,water,714
367,huntail,Gen 3,17,270,170,55,104,105,94,75,52,water,,485,1.7,27.0,water,372
368,gorebyss,Gen 3,18,226,170,55,84,105,114,75,52,water,,485,1.8,22.6,water,372
369,relicanth,Gen 3,10,234,170,100,90,130,45,65,55,water,rock,485,1.0,23.4,water / rock,372
370,luvdisc,Gen 3,6,87,116,43,30,55,40,65,97,water,,330,0.6,8.7,water,741
371,bagon,Gen 3,6,421,60,45,75,60,40,30,50,dragon,,300,0.6,42.1,dragon,856
372,shelgon,Gen 3,11,1105,147,65,95,100,60,50,50,dragon,,420,1.1,110.5,dragon,562
373,salamence,Gen 3,15,1026,270,95,135,80,110,80,100,dragon,flying,600,1.5,102.6,dragon / flying,25
374,beldum,Gen 3,6,952,60,40,55,80,35,60,30,steel,psychic,300,0.6,95.2,steel / psychic,856
375,metang,Gen 3,12,2025,147,60,75,100,55,80,50,steel,psychic,420,1.2,202.5,steel / psychic,562
376,metagross,Gen 3,16,5500,270,80,135,130,95,90,70,steel,psychic,600,1.6,550.0,steel / psychic,25
377,regirock,Gen 3,17,2300,261,80,100,200,50,100,50,rock,,580,1.7,230.0,rock,69
378,regice,Gen 3,18,1750,261,80,50,100,100,200,50,ice,,580,1.8,175.0,ice,69
379,registeel,Gen 3,19,2050,261,80,75,150,75,150,50,steel,,580,1.9,205.0,steel,69
380,latias,Gen 3,14,400,270,80,80,90,110,130,110,dragon,psychic,600,1.4,40.0,dragon / psychic,25
381,latios,Gen 3,20,600,270,80,90,80,130,110,110,dragon,psychic,600,2.0,60.0,dragon / psychic,25
382,kyogre,Gen 3,45,3520,302,100,100,90,150,140,90,water,,670,4.5,352.0,water,16
383,groudon,Gen 3,35,9500,302,100,150,140,100,90,90,ground,,670,3.5,950.0,ground,16
384,rayquaza,Gen 3,70,2065,306,105,150,90,150,90,95,dragon,flying,680,7.0,206.5,dragon / flying,3
385,jirachi,Gen 3,3,11,270,100,100,100,100,100,100,steel,psychic,600,0.3,1.1,steel / psychic,25
386,deoxys-normal,Gen 3,17,608,270,50,150,50,150,50,150,psychic,,600,1.7,60.8,psychic,25
387,turtwig,Gen 4,4,102,64,55,68,64,45,55,31,grass,,318,0.4,10.2,grass,787
388,grotle,Gen 4,11,970,142,75,89,85,55,65,36,grass,,405,1.1,97.0,grass,605
389,torterra,Gen 4,22,3100,236,95,109,105,75,85,56,grass,ground,525,2.2,310.0,grass / ground,189
390,chimchar,Gen 4,5,62,62,44,58,44,58,44,61,fire,,309,0.5,6.2,fire,821
391,monferno,Gen 4,9,220,142,64,78,52,78,52,81,fire,fighting,405,0.9,22.0,fire / fighting,605
392,infernape,Gen 4,12,550,240,76,104,71,104,71,108,fire,fighting,534,1.2,55.0,fire / fighting,157
393,piplup,Gen 4,4,52,63,53,51,53,61,56,40,water,,314,0.4,5.2,water,798
394,prinplup,Gen 4,8,230,142,64,66,68,81,76,50,water,,405,0.8,23.0,water,605
395,empoleon,Gen 4,17,845,239,84,86,88,111,101,60,water,steel,530,1.7,84.5,water / steel,163
396,starly,Gen 4,3,20,49,40,55,30,30,30,60,normal,flying,245,0.3,2.0,normal / flying,976
397,staravia,Gen 4,6,155,119,55,75,50,40,40,80,normal,flying,340,0.6,15.5,normal / flying,719
398,staraptor,Gen 4,12,249,218,85,120,70,50,60,100,normal,flying,485,1.2,24.9,normal / flying,372
399,bidoof,Gen 4,5,200,50,59,45,40,35,40,31,normal,,250,0.5,20.0,normal,967
400,bibarel,Gen 4,10,315,144,79,85,60,55,60,71,normal,water,410,1.0,31.5,normal / water,590
401,kricketot,Gen 4,3,22,39,37,25,41,25,41,25,bug,,194,0.3,2.2,bug,1020
402,kricketune,Gen 4,10,255,134,77,85,51,55,51,65,bug,,384,1.0,25.5,bug,659
403,shinx,Gen 4,5,95,53,45,65,34,40,34,45,electric,,263,0.5,9.5,electric,952
404,luxio,Gen 4,9,305,127,60,85,49,60,49,60,electric,,363,0.9,30.5,electric,681
405,luxray,Gen 4,14,420,235,80,120,79,95,79,70,electric,,523,1.4,42.0,electric,210
406,budew,Gen 4,2,12,56,40,30,35,50,70,55,grass,poison,280,0.2,1.2,grass / poison,913
407,roserade,Gen 4,9,145,232,60,70,65,125,105,90,grass,poison,515,0.9,14.5,grass / poison,226
408,cranidos,Gen 4,9,315,70,67,125,40,30,30,58,rock,,350,0.9,31.5,rock,701
409,rampardos,Gen 4,16,1025,173,97,165,60,65,50,58,rock,,495,1.6,102.5,rock,317
410,shieldon,Gen 4,5,570,70,30,42,118,42,88,30,rock,steel,350,0.5,57.0,rock / steel,701
411,bastiodon,Gen 4,13,1495,173,60,52,168,47,138,30,rock,steel,495,1.3,149.5,rock / steel,317
412,burmy,Gen 4,2,34,45,40,29,45,29,45,36,bug,,224,0.2,3.4,bug,993
413,wormadam-plant,Gen 4,5,65,148,60,59,85,79,105,36,bug,grass,424,0.5,6.5,bug / grass,558
414,mothim,Gen 4,9,233,148,70,94,50,94,50,66,bug,flying,424,0.9,23.3,bug / flying,558
415,combee,Gen 4,3,55,49,30,30,42,30,42,70,bug,flying,244,0.3,5.5,bug / flying,983
416,vespiquen,Gen 4,12,385,166,70,80,102,80,102,40,bug,flying,474,1.2,38.5,bug / flying,442
417,pachirisu,Gen 4,4,39,142,60,45,70,45,90,95,electric,,405,0.4,3.9,electric,605
418,buizel,Gen 4,7,295,66,55,65,35,60,30,85,water,,330,0.7,29.5,water,741
419,floatzel,Gen 4,11,335,173,85,105,55,85,50,115,water,,495,1.1,33.5,water,317
420,cherubi,Gen 4,4,33,55,45,35,45,62,53,35,grass,,275,0.4,3.3,grass,926
421,cherrim,Gen 4,5,93,158,70,60,70,87,78,85,grass,,450,0.5,9.3,grass,512
422,shellos,Gen 4,3,63,65,76,48,48,57,62,34,water,,325,0.3,6.3,water,761
423,gastrodon,Gen 4,9,299,166,111,83,68,92,82,39,water,ground,475,0.9,29.9,water / ground,431
424,ambipom,Gen 4,12,203,169,75,100,66,60,66,115,normal,,482,1.2,20.3,normal,401
425,drifloon,Gen 4,4,12,70,90,50,34,60,44,70,ghost,flying,348,0.4,1.2,ghost / flying,711
426,drifblim,Gen 4,12,150,174,150,80,44,90,54,80,ghost,flying,498,1.2,15.0,ghost / flying,312
427,buneary,Gen 4,4,55,70,55,66,44,44,56,85,normal,,350,0.4,5.5,normal,701
428,lopunny,Gen 4,12,333,168,65,76,84,54,96,105,normal,,480,1.2,33.3,normal,405
429,mismagius,Gen 4,9,44,173,60,60,60,105,105,105,ghost,,495,0.9,4.4,ghost,317
430,honchkrow,Gen 4,9,273,177,100,125,52,105,52,71,dark,flying,505,0.9,27.3,dark / flying,262
431,glameow,Gen 4,5,39,62,49,55,42,42,37,85,normal,,310,0.5,3.9,normal,804
432,purugly,Gen 4,10,438,158,71,82,64,64,59,112,normal,,452,1.0,43.8,normal,509
433,chingling,Gen 4,2,6,57,45,30,50,65,50,45,psychic,,285,0.2,0.6,psychic,907
434,stunky,Gen 4,4,192,66,63,63,47,41,41,74,poison,dark,329,0.4,19.2,poison / dark,757
435,skuntank,Gen 4,10,380,168,103,93,67,71,61,84,poison,dark,479,1.0,38.0,poison / dark,424
436,bronzor,Gen 4,5,605,60,57,24,86,24,86,23,steel,psychic,300,0.5,60.5,steel / psychic,856
437,bronzong,Gen 4,13,1870,175,67,89,116,79,116,33,steel,psychic,500,1.3,187.0,steel / psychic,278
438,bonsly,Gen 4,5,150,58,50,80,95,10,45,10,rock,,290,0.5,15.0,rock,892
439,mime-jr,Gen 4,6,130,62,20,25,45,70,90,60,psychic,fairy,310,0.6,13.0,psychic / fairy,804
440,happiny,Gen 4,6,244,110,100,5,5,15,65,30,normal,,220,0.6,24.4,normal,994
441,chatot,Gen 4,5,19,144,76,65,45,92,42,91,normal,flying,411,0.5,1.9,normal / flying,587
442,spiritomb,Gen 4,10,1080,170,50,92,108,92,108,35,ghost,dark,485,1.0,108.0,ghost / dark,372
443,gible,Gen 4,7,205,60,58,70,45,40,45,42,dragon,ground,300,0.7,20.5,dragon / ground,856
444,gabite,Gen 4,14,560,144,68,90,65,50,55,82,dragon,ground,410,1.4,56.0,dragon / ground,590
445,garchomp,Gen 4,19,950,270,108,130,95,80,85,102,dragon,ground,600,1.9,95.0,dragon / ground,25
446,munchlax,Gen 4,6,1050,78,135,85,40,40,85,5,normal,,390,0.6,105.0,normal,646
447,riolu,Gen 4,7,202,57,40,70,40,35,40,60,fighting,,285,0.7,20.2,fighting,907
448,lucario,Gen 4,12,540,184,70,110,70,115,70,90,fighting,steel,525,1.2,54.0,fighting / steel,189
449,hippopotas,Gen 4,8,495,66,68,72,78,38,42,32,ground,,330,0.8,49.5,ground,741
450,hippowdon,Gen 4,20,3000,184,108,112,118,68,72,47,ground,,525,2.0,300.0,ground,189
451,skorupi,Gen 4,8,120,66,40,50,90,30,55,65,poison,bug,330,0.8,12.0,poison / bug,741
452,drapion,Gen 4,13,615,175,70,90,110,60,75,95,poison,dark,500,1.3,61.5,poison / dark,278
453,croagunk,Gen 4,7,230,60,48,61,40,61,40,50,poison,fighting,300,0.7,23.0,poison / fighting,856
454,toxicroak,Gen 4,13,444,172,83,106,65,86,65,85,poison,fighting,490,1.3,44.4,poison / fighting,338
455,carnivine,Gen 4,14,270,159,74,100,72,90,72,46,grass,,454,1.4,27.0,grass,506
456,finneon,Gen 4,4,70,66,49,49,56,49,61,66,water,,330,0.4,7.0,water,741
457,lumineon,Gen 4,12,240,161,69,69,76,69,86,91,water,,460,1.2,24.0,water,477
458,mantyke,Gen 4,10,650,69,45,20,50,60,120,50,water,flying,345,1.0,65.0,water / flying,714
459,snover,Gen 4,10,505,67,60,62,50,62,60,40,grass,ice,334,1.0,50.5,grass / ice,739
460,abomasnow,Gen 4,22,1355,173,90,92,75,92,85,60,grass,ice,494,2.2,135.5,grass / ice,335
461,weavile,Gen 4,11,340,179,70,120,65,45,85,125,dark,ice,510,1.1,34.0,dark / ice,237
462,magnezone,Gen 4,12,1800,241,70,70,115,130,90,60,electric,steel,535,1.2,180.0,electric / steel,146
463,lickilicky,Gen 4,17,1400,180,110,85,95,80,95,50,normal,,515,1.7,140.0,normal,226
464,rhyperior,Gen 4,24,2828,241,115,140,130,55,55,40,ground,rock,535,2.4,282.8,ground / rock,146
465,tangrowth,Gen 4,20,1286,187,100,100,125,110,50,50,grass,,535,2.0,128.6,grass,146
466,electivire,Gen 4,18,1386,243,75,123,67,95,85,95,electric,,540,1.8,138.6,electric,136
467,magmortar,Gen 4,16,680,243,75,95,67,125,95,83,fire,,540,1.6,68.0,fire,136
468,togekiss,Gen 4,15,380,245,85,50,95,120,115,80,fairy,flying,545,1.5,38.0,fairy / flying,135
469,yanmega,Gen 4,19,515,180,86,76,86,116,56,95,bug,flying,515,1.9,51.5,bug / flying,226
470,leafeon,Gen 4,10,255,184,65,110,130,60,65,95,grass,,525,1.0,25.5,grass,189
471,glaceon,Gen 4,8,259,184,65,60,110,130,95,65,ice,,525,0.8,25.9,ice,189
472,gliscor,Gen 4,20,425,179,75,95,125,45,75,95,ground,flying,510,2.0,42.5,ground / flying,237
473,mamoswine,Gen 4,25,2910,239,110,130,80,70,60,80,ice,ground,530,2.5,291.0,ice / ground,163
474,porygon-z,Gen 4,9,340,241,85,80,70,135,75,90,normal,,535,0.9,34.0,normal,146
475,gallade,Gen 4,16,520,233,68,125,65,65,115,80,psychic,fighting,518,1.6,52.0,psychic / fighting,223
476,probopass,Gen 4,14,3400,184,60,55,145,75,150,40,rock,steel,525,1.4,340.0,rock / steel,189
477,dusknoir,Gen 4,22,1066,236,45,100,135,65,135,45,ghost,,525,2.2,106.6,ghost,189
478,froslass,Gen 4,13,266,168,70,80,70,80,70,110,ice,ghost,480,1.3,26.6,ice / ghost,405
479,rotom,Gen 4,3,3,154,50,50,77,95,77,91,electric,ghost,440,0.3,0.3,electric / ghost,527
480,uxie,Gen 4,3,3,261,75,75,130,75,130,95,psychic,,580,0.3,0.3,psychic,69
481,mesprit,Gen 4,3,3,261,80,105,105,105,105,80,psychic,,580,0.3,0.3,psychic,69
482,azelf,Gen 4,3,3,261,75,125,70,125,70,115,psychic,,580,0.3,0.3,psychic,69
483,dialga,Gen 4,54,6830,306,100,120,120,150,100,90,steel,dragon,680,5.4,683.0,steel / dragon,3
484,palkia,Gen 4,42,3360,306,90,120,100,150,120,100,water,dragon,680,4.2,336.0,water / dragon,3
485,heatran,Gen 4,17,4300,270,91,90,106,130,106,77,fire,steel,600,1.7,430.0,fire / steel,25
486,regigigas,Gen 4,37,4200,302,110,160,110,80,110,100,normal,,670,3.7,420.0,normal,16
487,giratina-altered,Gen 4,45,7500,306,150,100,120,100,120,90,ghost,dragon,680,4.5,750.0,ghost / dragon,3
488,cresselia,Gen 4,15,856,270,120,70,110,75,120,85,psychic,,580,1.5,85.6,psychic,69
489,phione,Gen 4,4,31,216,80,80,80,80,80,80,water,,480,0.4,3.1,water,405
490,manaphy,Gen 4,3,14,270,100,100,100,100,100,100,water,,600,0.3,1.4,water,25
491,darkrai,Gen 4,15,505,270,70,90,90,135,90,125,dark,,600,1.5,50.5,dark,25
492,shaymin-land,Gen 4,2,21,270,100,100,100,100,100,100,grass,,600,0.2,2.1,grass,25
493,arceus,Gen 4,32,3200,324,120,120,120,120,120,120,normal,,720,3.2,320.0,normal,1
494,victini,Gen 5,4,40,270,100,100,100,100,100,100,psychic,fire,600,0.4,4.0,psychic / fire,25
495,snivy,Gen 5,6,81,62,45,45,55,45,55,63,grass,,308,0.6,8.1,grass,825
496,servine,Gen 5,8,160,145,60,60,75,60,75,83,grass,,413,0.8,16.0,grass,584
497,serperior,Gen 5,33,630,238,75,75,95,75,95,113,grass,,528,3.3,63.0,grass,186
498,tepig,Gen 5,5,99,62,65,63,45,45,45,45,fire,,308,0.5,9.9,fire,825
499,pignite,Gen 5,10,555,146,90,93,55,70,55,55,fire,fighting,418,1.0,55.5,fire / fighting,579
500,emboar,Gen 5,16,1500,238,110,123,65,100,65,65,fire,fighting,528,1.6,150.0,fire / fighting,186
501,oshawott,Gen 5,5,59,62,55,55,45,63,45,45,water,,308,0.5,5.9,water,825
502,dewott,Gen 5,8,245,145,75,75,60,83,60,60,water,,413,0.8,24.5,water,584
503,samurott,Gen 5,15,946,238,95,100,85,108,70,70,water,,528,1.5,94.6,water,186
504,patrat,Gen 5,5,116,51,45,55,39,35,39,42,normal,,255,0.5,11.6,normal,960
505,watchog,Gen 5,11,270,147,60,85,69,60,69,77,normal,,420,1.1,27.0,normal,562
506,lillipup,Gen 5,4,41,55,45,60,45,25,45,55,normal,,275,0.4,4.1,normal,926
507,herdier,Gen 5,9,147,130,65,80,65,35,65,60,normal,,370,0.9,14.7,normal,669
508,stoutland,Gen 5,12,610,225,85,110,90,45,90,80,normal,,500,1.2,61.0,normal,278
509,purrloin,Gen 5,4,101,56,41,50,37,50,37,66,dark,,281,0.4,10.1,dark,912
510,liepard,Gen 5,11,375,156,64,88,50,88,50,106,dark,,446,1.1,37.5,dark,524
511,pansage,Gen 5,6,105,63,50,53,48,53,48,64,grass,,316,0.6,10.5,grass,790
512,simisage,Gen 5,11,305,174,75,98,63,98,63,101,grass,,498,1.1,30.5,grass,312
513,pansear,Gen 5,6,110,63,50,53,48,53,48,64,fire,,316,0.6,11.0,fire,790
514,simisear,Gen 5,10,280,174,75,98,63,98,63,101,fire,,498,1.0,28.0,fire,312
515,panpour,Gen 5,6,135,63,50,53,48,53,48,64,water,,316,0.6,13.5,water,790
516,simipour,Gen 5,10,290,174,75,98,63,98,63,101,water,,498,1.0,29.0,water,312
517,munna,Gen 5,6,233,58,76,25,45,67,55,24,psychic,,292,0.6,23.3,psychic,890
518,musharna,Gen 5,11,605,170,116,55,85,107,95,29,psychic,,487,1.1,60.5,psychic,369
519,pidove,Gen 5,3,21,53,50,55,50,36,30,43,normal,flying,264,0.3,2.1,normal / flying,951
520,tranquill,Gen 5,6,150,125,62,77,62,50,42,65,normal,flying,358,0.6,15.0,normal / flying,690
521,unfezant,Gen 5,12,290,220,80,115,80,65,55,93,normal,flying,488,1.2,29.0,normal / flying,366
522,blitzle,Gen 5,8,298,59,45,60,32,50,32,76,electric,,295,0.8,29.8,electric,882
523,zebstrika,Gen 5,16,795,174,75,100,63,80,63,116,electric,,497,1.6,79.5,electric,316
524,roggenrola,Gen 5,4,180,56,55,75,85,25,25,15,rock,,280,0.4,18.0,rock,913
525,boldore,Gen 5,9,1020,137,70,105,105,50,40,20,rock,,390,0.9,102.0,rock,646
526,gigalith,Gen 5,17,2600,232,85,135,130,60,80,25,rock,,515,1.7,260.0,rock,226
527,woobat,Gen 5,4,21,65,65,45,43,55,43,72,psychic,flying,323,0.4,2.1,psychic / flying,770
528,swoobat,Gen 5,9,105,149,67,57,55,77,55,114,psychic,flying,425,0.9,10.5,psychic / flying,553
529,drilbur,Gen 5,3,85,66,60,85,40,30,45,68,ground,,328,0.3,8.5,ground,759
530,excadrill,Gen 5,7,404,178,110,135,60,50,65,88,ground,steel,508,0.7,40.4,ground / steel,256
